stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,4.23,0,0.28,0,0.28,0,0,0,0
21Day,0.74,0.37,0,0,0,0,0.37,0,2.22,5.92,0,0,0,0,0,0,0.37,0
3Month,0.62,0,0.1,0,0,0.31,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0.42
22Month,0.55,0,0.14,0.14,0.14,3.83,0.27,0.41,0.14,0,0.27,1.23,0.14,0,0,0.14,0,0
