stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,2.59,0,0,0.74,1.11,0,0,0,3.33,0,0,0.37,0.37,0.37,0,0,0,0,0,0,0,0,0.74
3Month,0.31,1.14,0.1,0.1,0.21,10.51,0,0.94,36.82,0.1,0.62,0.21,0.42,4.58,0.42,0.21,0.21,0,0,0,0.21,0.21,0.42,0,0.1,0.21,0.31,5.82
22Month,0.14,0.55,0,0.14,0,15.44,0.27,0.96,13.66,0,0.14,0,0,6.7,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0,0.14,0,4.24
