stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.1,1.41,8.74,1.69,4.79,0,0,0,0,0,0,0.28,0.28,1.69,6.48,0.85,5.92,0,0,0.28,0,431.51,11.84,0.85,0.56,5.36,0,0,4.79,0.85,0.56,0.85,0,0,0
21Day,1.48,0.37,14.43,0,4.44,0,1.11,0,0.74,0,0,0.37,0.37,1.48,2.59,0.74,16.65,0,0,2.22,0,177.96,7.03,0.74,1.48,6.29,4.81,1.11,3.33,0.74,2.59,0.37,0,0,0.74
3Month,0,1.35,1.87,0.21,0,0,0,0.1,0.42,1.56,0.62,0.31,0.42,0.1,2.7,0.21,4.58,4.26,0,0.21,0.21,36.3,0.1,0.52,3.43,0,0.31,6.03,0.1,0,0,0,0.21,0.73,0.1
22Month,0.14,0.68,1.64,0.14,0,0.27,0,0.14,0.68,6.15,0.14,0.41,0.14,0,1.09,0.41,2.87,0.82,0.41,0.14,0,15.03,0.14,1.5,9.29,0,0.27,4.78,0.27,0,0,0,0.27,0,0.27
