stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0.56,0,0,0,0.56,0.28,0.28,0,0,0.56,0.56,0,0,0,0.56,0,0,0,0,0,0,0
21Day,0.37,0.37,0.74,0,0,2.59,0,0,0,0,0,0,1.48,0,0,0,0.37,1.11,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0.37,0,0,0.37
3Month,0.73,0,0.94,0,0.1,0.21,0.31,2.5,0,0,4.58,1.14,0.42,0.73,0.1,0.1,1.46,0.52,0,0.21,0,0,0,0.1,0,0,0,0.1,0.42,0,0,0,0.21,4.26
22Month,1.78,0.68,1.78,0,0.27,0.27,0.27,2.87,0.41,0,111.78,0.96,0.27,0.68,0.14,0,1.91,0.96,0.68,0.27,0.14,0,0,0,0.41,0.14,0,0,0.27,0.14,0,0.27,0,1.23
