stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,0.56,0.56,0,0,0,0,0,0,0,0,0.85,0,1.13,0,0,0,65.67,24.24,0,0,0,1.69,0,0,10.71,0,0.85,0,0,0
21Day,0,0,0,0.74,1.11,0.37,0,0,0,0,0,0,0.37,0,0,1.11,0,0,0,15.91,11.1,0.37,0.37,0,0.37,0,0.37,8.51,0.37,0,0,0,0.37
3Month,0,0.21,0,1.98,0,0,0.1,0.42,0,2.81,0.31,0.1,0.73,0.42,0.62,2.81,0.62,0,0.52,1.35,0.42,0.62,0.1,0,0.1,0.31,8.84,1.25,0,0.42,0.1,2.39,0.21
22Month,0.27,0.27,0.27,0.41,0,0,0.14,0.27,0.14,6.01,0.41,0,0.41,0,0.27,1.91,0,0.14,0.68,0.55,0.14,0.27,0,0.14,0,0.14,0.68,0.41,0,0.14,0,0,0
