stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,30,0,0,0,0,0,0,0,1,0,0,0,0,1,15,1,14,0,0,0,0,6,41,0,0,4,0,0,0,0,0,0,0,0
72hpf,1.97,1.13,0,13.53,4.79,0.56,0,0,0,0,0,0,0,0,0.28,0,3.1,35.23,0.28,18.32,0,0.28,1.69,0.28,3.95,8.46,0,0.28,37.2,0,0,1.97,0,0.85,0,0,0
21Day,5.18,0.74,0,50.69,1.48,3.33,0,0,0.74,0,0,0,0.74,0.74,0.74,0.37,2.59,31.08,1.48,37,0,0.37,3.7,0,4.07,2.59,0.37,0.37,22.57,4.44,0.37,1.85,0.74,0.37,0,0,0.74
3Month,0,0.31,0.1,5.93,0.1,0,0,0.1,1.35,0.1,0,0,1.35,0.21,0,0.83,0.62,1.25,0.31,2.29,0.83,0,0.42,0.52,0.1,0,0.21,0.1,0.1,0.21,2.7,0,0,0,0.62,1.25,0.21
22Month,0,0.41,0,0.41,0,0,0.14,0,0.14,0.27,0.27,0,2.19,0,0,0.27,0,0.68,0,0.55,0,0,0.14,0,0,0,0.14,0,0,0,0.14,0.14,0,0,0,0,0
