stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,127,9,0,161,0,3,0,0,0,0,0,0,0,0,11,3,10,186,0,0,0,65,1144,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,15.5,1.69,0,8.74,0.56,1.97,0,0,0,0,0.28,0,0.28,0,5.64,9.3,0.85,42.84,0,0,1.41,143.46,43.12,0,0,84.27,0.28,0.28,14.66,0.85,0,1.13,0,0,0
21Day,26.64,2.59,1.48,7.77,0.37,2.96,0,0.37,0.74,0,1.11,0,0.74,0.37,1.48,1.85,0.74,55.87,0,0,1.85,11.1,8.88,0,0.74,82.14,2.59,0,4.81,0,1.48,0.37,0,0,0.37
3Month,0,1.46,6.45,4.89,0,0,0,0,3.02,0.42,2.6,0.62,0.31,5.1,0.21,0.83,2.6,9.99,0.62,0,17.47,0.21,0,0.73,0.21,0.21,0.52,1.77,0.1,0,0,0,0.21,2.6,0.21
22Month,0,0.82,3.42,1.09,0,0,0.14,0,0.55,0.41,3.14,0,0,3.69,0,0.14,0.27,4.65,0,0.14,2.05,0,0,0.14,0,0,0,3.42,0,0,0,0,0.14,0,0
