stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.85,0,0,0,0,0,14.37,0,0,0.56,0.56,0.28,0,0,0,0
21Day,0,0.37,6.29,0.37,0,0,0.37,0,4.81,0,0,0,0,0,0,0,0,0
3Month,0,0.1,3.33,0,0.73,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0.21,0.62,0,1.14
22Month,0,0,0.27,0,0.82,0,0.41,0,0,0,0,0,0,0,0,0.14,0.14,0
