stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0.85,0.28,0.85,0,0,0,0,0,1.13,0.28,0.85,0,0,168.26,7.89,0,3.1,0,0,1.41,10.71,11.27,0.28,0,0
21Day,0.37,0,2.96,0.37,0.74,0.37,0,0.37,0,0,0.37,0.37,1.85,0,1.11,32.19,3.33,0,0.37,0.37,0.37,0.37,8.14,35.89,0.37,0,0
3Month,0,0.1,0.31,0,0,0.1,0.21,0.52,0.1,0,0.21,0,0,0.1,0,0.52,0,0.1,0,0,1.77,0,0,0,0,8.01,0.1
22Month,0,0,0.14,0,0,0,0,1.78,0,0.14,0,0.14,0,0,0,0.14,0,0,0,0,0.96,0,0,0,0,0.14,0
