stage,Epithelial_cell,Erythrocyte,Granulocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,1,0,1,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0
21Day,1.85,0,0,2.22,0.37,0.37,0.37,0,0
3Month,0,0,0.1,0,0,0,0,0.21,0.1
