stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0.28,0,0,0,0,0,0,0,0,0.28,1.13,0.56,0.28,0,0,0,4.23,0,0,0,0.85,0,0,0,0,0,0,0
21Day,0,0,4.81,2.59,0,0,0,0,0.37,0,0.74,0,0,0,1.11,1.11,1.85,0,0,0,5.92,0.37,0,0,1.48,0.37,0,0,0,0,0,0
3Month,0.52,0,2.39,0.73,0,0.1,0.1,0.42,2.39,0,1.77,0.21,0.31,0,2.39,3.54,1.66,0.52,0,0.31,0.83,0.1,0.21,0.1,0,0,1.35,0,0.1,0.1,0.1,0.31
22Month,0.27,0.14,0.55,0.14,0,0,0,0.14,2.73,0.14,4.51,0.14,0.41,0,0.27,1.64,1.64,0,0.14,0,0,0,0.41,0,0,0.14,1.64,0.14,0,0,0,0.27
