stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
72hpf,0,0.28,0,0,0,0,0,0,0.56,0,0.28,1.41,6.76,0,0,5.64,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0.37,0,0,0.37,2.59,0.37,0,2.59,0,0.37,0
3Month,0,0.21,0,0,0.1,0.31,0,0.1,0,0,0.21,0.21,0,0.1,0.21,0.21,0,0,0
22Month,0.27,0,0,0.14,0,1.37,0.27,0.14,0.14,0.14,0.14,0.14,0,0,0,0,0.14,0,0.14
