stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,2.82,0,0,0,0,0,0,0,0,0.28,0,0.56,1.69,0,0,0,0,0,0,5.36,1.13,0.56,0,0.28,0.28,0,0.85,0.85,0,0,0
21Day,0,0,0,0.37,2.59,0.37,0,0,0.37,0,0,1.48,0,0.37,0.37,0,1.11,0,1.11,0,0,0,0,5.18,0.37,0.37,0,0.74,0.37,1.48,0.37,1.48,0,0.37,0
3Month,0,0.1,0.31,8.43,0.73,0,0.1,0,0.52,1.14,0.1,54.09,1.14,0,1.35,3.22,1.14,0.62,1.46,0.21,0.21,0.42,0.31,2.91,0,0.73,0.1,0.1,0.94,6.14,0.1,0,0.31,115.67,0.21
22Month,0,0.14,0.14,2.32,0.14,0,0.27,0.14,0,0.27,0.55,42.63,0,0.27,0.27,0.14,0.27,0.41,0.96,0,2.46,0.14,0,0.55,0,0.14,0.41,0,0,3.83,0,0.68,0,0.41,0
