stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,1.13,0.56,0,0,0,0,0,0,0,0,0,0.56,0.28,0,27.34,3.95,0.28,0.56,0,0,2.25,0,0,0,0,0
21Day,0.37,0.37,2.59,0,3.7,0,0.37,0,1.48,1.48,0.37,0,0.74,0.37,2.96,0,0.37,51.8,2.59,0.37,1.11,1.48,0,1.48,0.74,0.37,0,0,0.74
3Month,0,0.31,1.14,0,0,0,0,0,1.35,0,1.87,0.1,0.62,0.31,0.31,0,0,0.42,0.1,0.21,0,0.1,0.62,0,0,0,0.1,0.31,0
22Month,0,0.55,1.37,0.27,0,0.82,0.14,0.14,2.87,0,9.57,0.14,0,0,0.14,0.14,0,0.96,0.55,1.37,0,0,0.27,0.82,0,0,0.14,0,0.27
