stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,12,0,1,0,0,0,0,0,0,0,4,3,3,8,0,0,4,1,66,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,171.93,0.28,0,2.82,3.95,4.51,0.28,0,0,0,0,0,0,6.76,9.3,1.13,11.27,0.28,0.56,0.28,28.47,14.09,0.56,0.56,7.89,0,0,3.1,0.28,0.28,0.56,0,0,0
21Day,92.87,0,1.11,9.25,4.44,5.92,0,0,0,0.74,0,1.85,1.48,0.74,4.81,2.96,8.51,0,2.22,0.37,9.25,3.33,0,0.74,2.96,3.33,0,0.37,0.37,0.37,0,0,0,0.74
3Month,3.95,0,0.1,1.14,3.95,0,0,0.73,0,17.58,0.21,0,1.35,0.62,0.62,0.62,0.62,0,0.21,0.31,0.1,0.1,0,0,0,0.1,2.18,0,0,0,0,0.21,1.04,0.31
22Month,0.55,0.27,0.55,1.23,1.64,0,0,0.55,0.68,19.27,0.27,0,0.55,0.14,0.14,1.09,0.27,0.96,0,0.14,0.14,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0.27
