stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,1.97,2.54,0,0.28,0,0.85,0.56,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0.37,0,1.48,0,0,0,0,0,0
3Month,0,0.1,0.42,0,0.1,0.1,1.25,0.31,0.52,0,0.21,0.31,0.1,0.21,0.1,0.1,0,0,0.1,0,0.31,26.21,0.1,0.31,17.16,0.1
22Month,0,0,0.14,0,0,0,1.23,0,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0,7.65,0,0,0,0
