stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,6.2,0,0,0,0,0,0,0.28,1.13,0,0.28,0,0.28,3.95,1.69,0,0,0,0,0,0.85,0,0,0,0
21Day,0.37,0,0,0.74,1.11,0,0,0,0,0,0,0.74,0.37,0,0.74,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.31,0.21,10.51,2.18,0.31,0.31,1.04,4.99,1.46,1.77,5.2,1.25,0.62,1.25,0.1,0.94,3.85,0,0.62,0.21,0,0.73,2.18,0,0.1,0.1,208.45,0.52
22Month,0.14,0,0.14,3.69,0.27,0.14,0,0.27,1.5,0.14,0.27,0.27,0,0,0.41,0,0.27,0.14,0,0.14,0,0.14,0.14,2.32,0,0,0,0.68,0
