stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,1,0
72hpf,0,0,0,0,0,0,0,0.28,0
21Day,0,0.37,1.11,0,0,0,0,0,0
3Month,0.21,0,0.83,0.31,0,0.52,0.1,0.1,0.1
22Month,0.14,0.14,0.27,0,0.14,0.14,0,0,0
