stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
72hpf,0,0,5.36,0,0,0,0,0,0.56,31.29,0,1.69,0.28,0,0,0.56,0
21Day,0,0,11.1,0.37,0.37,0,0,0,1.11,22.57,0,0,0,0,0,0,0.37
3Month,0.1,0.1,3.43,0,0,0.1,0.42,0.1,0.42,0.21,0,0,0,0.1,0.1,0,0
22Month,0,0,0.14,0,0,0,0.14,0,0.14,0,0.14,0,0,0,0,0,0
