stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Smooth_muscle_cell,T_cell
21Day,0.37,1.11,0,0.37,0.74,1.48,0,0.37,0,0.74,0,0.37
3Month,0,0.1,0.31,0,0,1.25,0.21,0,0.1,0,0.1,0.1
22Month,0,0,0,0.14,0,2.05,0,0.14,0,0,0,0
