stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,T_cell
72hpf,0.28,0,0,0,0.56,0,0,0,0,0,0,0,0.28,0,0.85,0,0,0,0,2.82,0.85,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0,0,0,0.37,0,2.59,0,0.37,0,0,0.37,0
3Month,0,0.21,0.31,0,0.83,0.21,0.1,0.42,0.1,0,0.42,0,0.42,0.21,0.1,0.1,0,0,0.1,0.94,0,0,0.1,0.1,0,0.1
22Month,0,0.27,0,0.14,0.27,0.55,0.14,2.32,0,0.27,0,0,0.14,0,0.55,0,0.41,0,0,0.27,0,0,0,0.14,0,0
