stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0,0.28,1.13,0.28,0.85,0,0.28,3.66,1.13,0.85,0,0,0.85,0,0
21Day,0.74,2.22,0.37,0,0,0,0,0,0,0,0,1.11,0.37,2.96,0,0,2.59,0.74,0.74,0.37,0,0.37,0,0
3Month,0.42,0.52,0,0.1,0.1,0.21,1.14,0.1,0,0.1,0,0.52,0,0.83,0,0.1,0.1,0,0,0.1,0.21,0,1.14,0.1
22Month,0.68,0.27,0,0,0,0.41,4.1,0,0.14,0,0,0,0,1.23,0.14,0.14,0,0,0,0,0,0.14,0,0
