stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,8.88,0,0.37,0,0,0,0,0,0,0,0,0.37,7.4,0,0.37,0.37,0.37,0.74,0.37,0,0,0,0.37,0,0.74,0,0,0,0
3Month,0.21,0.31,0,14.67,0.1,0,0.31,0.1,1.14,0.62,3.12,0.52,0.1,0.73,0.83,0.42,17.47,0.21,0,0.1,13.21,0,0.1,0.1,0.21,0.21,23.09,0,0,0.1,1.98,0.62
22Month,0,0.14,0.14,17.76,0,0,0,0.14,0.27,1.37,3.83,0.82,0,1.23,0.68,0.27,12.03,0.41,0,0,0.14,0.27,0,0.14,0,0,1.91,0,0.27,0.14,0,0.68
