stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0.85,0,0,0,0.28,0,0.28,0.28,0,0,0,0,0
21Day,0.74,2.22,7.4,1.11,0,1.11,8.14,0,2.59,0.37,0,0.37,0,0,2.22
22Month,0.14,0,0.14,10.39,1.64,0.14,1.5,0.14,9.84,0.27,0.14,0,0.14,0.14,0.27
