stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0
72hpf,16.91,0,0.56,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0.28,0,1.13,0,0,3.38,1.41,0,1.41,0.56,0.28,0.56,0,0,0,0,0
21Day,8.51,0,0.37,0.37,1.11,0,0,0.37,0,0,2.59,0,0,0.37,0.37,2.22,0,0,0.74,0,1.85,1.11,0,0.37,0.74,0.74,0.37,0.37,0.37,0,0,0
3Month,0.52,0.1,1.14,0,0.1,0.21,0.73,0,2.18,0.21,0.42,0.62,0,0.31,0.21,1.14,0.1,0,0.1,0.42,0.1,0,0.21,0,0.42,22.88,0,0,0,0.1,3.33,0.42
22Month,0,0.27,0.14,0,0,0,0.14,0,2.6,0.14,0.14,0.41,0,0,0.14,0.14,0,0,0,0.14,0,0,0,0,0,6.01,0,0,0,0,0,0.14
