stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,4,44,0,2,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0.28,0,6.76,3.1,0,1.13,0,0,0.28,0,0.28,0,0,0
21Day,0.37,0,0,1.48,1.11,0,0,0,0,0,0,0.37,0,0.37,0,0.37,2.96,0,0,0,0,4.44,2.22,0,2.22,0.37,0,1.11,0.37,0,0,0,0
3Month,0,0.1,0,0.94,0,0.1,0,0.52,0,1.98,0.31,0.1,0.94,0,0.62,0.62,1.77,0.31,0,0,0.62,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0.52,0.1,0.1
22Month,0,0,0.14,0.14,0,0,0.14,0,1.5,8.06,0.14,0,0.55,0,0.14,0,0.68,0,0.96,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.14
