stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,1.13,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0.37,1.85,0.37,0.37,0.37,0,0,0,9.99,0,0,8.51,0,0.74,0.74,1.48,0,0,0.37,0,0.74,0.37,0.37,1.11,0,0.37,1.11,0,0.37,0.37,0,0
3Month,0,0,1.14,2.08,0,0,0.1,0.52,0.83,72.19,0.73,0,32.87,0,0.73,0.31,0.31,0.1,0.1,0.21,0.1,0.1,0,0.1,1.98,0.1,0.1,0,0.1,0,0.1,0.42,0.21
22Month,0,0.41,0.27,0.14,0,0,0.41,0.14,0.27,63.95,0.14,0.14,18.17,0,0,0,0.27,0,0.96,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0.14
