stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,0
21Day,0.37,1.11,0.37,0,0,0,0.37,0,0.74,0,1.48,0.37,0,0,0
3Month,0,0.21,0,0,0.1,0,0,0,0,0,0,0,0,0.31,0.1
22Month,0,0.14,0,0.14,0.68,1.23,0,0.14,0,0.14,0,0,0.14,0,0
