stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,9,0,0,0,0,2,75,0,0,3,0,0,0,0,0,0,0
72hpf,2.82,1.69,0,2.25,0.85,0.85,0,0.28,0,0,0,0.28,0,0,1.13,0,2.82,4.51,0.85,6.76,0,0.56,0.56,0,9.3,45.38,0,0,6.48,0.28,0.56,1.69,0.28,0,0,0.28
21Day,4.07,0,0.37,8.51,0.74,8.88,0,3.33,0,0.74,0.37,0,0.37,0,11.47,0,0.37,1.48,1.48,11.84,0,0.37,1.48,0,4.44,18.5,0,0,3.33,1.48,1.85,2.59,0,0,0,5.55
3Month,0,0.42,0.1,6.66,0.1,0,0.1,0.52,0.83,3.33,0,0,4.37,2.18,0.62,1.25,0.42,1.04,2.29,1.87,0.31,0,0.31,0.31,0.62,0.31,0.21,0.1,0.1,0.62,15.29,0.21,0.1,0.73,10.51,4.99
22Month,0,1.09,0,3.69,0,0,0.68,0.41,0.68,4.51,0.68,0,18.58,1.5,2.19,3.28,0.41,0.82,3.69,3.28,0.14,0.96,0.14,0,0.41,0.27,0.41,0.27,0.14,0.14,1.64,0.27,0,0.14,0.14,1.09
