stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,2,0,9,0,0,0
72hpf,0.28,0.56,0,0,0,0,1.13,1.97,0,0,0.28
21Day,0.74,0.74,0.37,0,0,1.11,0.37,0,0.37,0,0
3Month,0,0,0,0.1,0.1,0,0,0,0,0.31,0
