stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0
72hpf,3.1,0.28,0,1.69,0,1.97,0,0,0,0,0,0,0,0.28,0.85,4.51,0,6.48,0,0,0,136.7,12.68,0,3.38,0.28,0,1.13,0,1.13,0,0,0
21Day,2.22,0,0.74,11.84,0.74,6.29,1.11,0,0.37,0,0.37,0,1.48,2.59,0.37,7.77,1.11,11.1,0,1.85,0,127.65,3.33,0,6.29,4.07,0.37,1.48,1.11,1.11,0,0,2.22
3Month,0.1,0.21,0.21,3.33,0,0,0,0.21,0.42,0,3.12,0.62,0.1,1.25,0.21,1.35,1.04,0.83,0,0.1,0.31,15.29,0,0.1,0.1,0.31,1.87,0,0,0.1,0.42,0.52,0.73
22Month,0,0.14,0,0.41,0,0,0.27,0.14,0.82,0.41,5.88,0.68,0.14,0.41,0,0.14,0.82,0,0.55,0,0.14,7.11,0.14,0.27,0.14,0,0,0,0,0,0,0,0
