stage,Epithelial_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell
24hpf,0,0,0,0,1,1,0,0
72hpf,0.28,0,1.69,0,0,0.56,0,0
21Day,0,0,3.7,0,0,0.37,0.37,0.37
3Month,0,0.1,0.21,0,0,0,0,0
22Month,0,0,0.96,0.14,0,0,0,0
