stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0.85,0,0
21Day,0,0,1.48,0,0,0,0,0,0,0,0,2.22,0,0,0.74,0,0
3Month,0.21,0,0.31,0,0,0.31,0.21,0,0,0.21,0.42,0.21,0,0.1,0,0.1,0.21
22Month,0,0.14,0.27,0.14,1.37,1.78,0.14,0.14,0.14,0,0.41,0,0.14,0.14,0,0,0
