stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,1.11,0,0.74,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,6.76,0.94,1.25,0.1,0.1,0.21,0.21,23.72,0.52,0,1.14,0.21,0.42,25.59,1.04,0.1,0,0,20.18,0,0.21,0.1,0.1,0.73,0.1,0.52,0.52
22Month,0.14,32.8,0,0.96,0,0,0.14,2.6,6.01,0.55,0.14,0.27,0.14,0.14,78.71,1.64,0,0.55,0.14,0,0,0.14,0.14,0.14,0.14,0,0,0
