stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0.28,0,0,0,0,0,0,0,0,2.25,0,0.56,0,0,0,0,0.56,0,0,0,0,0,0,0
21Day,0.37,2.96,0,0.37,0,0,0,0,0,0.37,0,1.11,0,1.48,0,0.37,0,0,0.37,0,0.37,0,0.37,0,0,0
3Month,0,4.47,0,0,0,0.21,0,0.21,0.1,0.1,0.42,0.52,0.21,0.1,0.1,0.1,0.1,0.1,0,0.62,0,0.21,0,0.1,2.81,0.1
22Month,0,0.41,0,0,0,0.14,0,0.41,0,0,0.27,0.55,0.68,0.14,0,0,0,0.27,0,0.14,0,0.41,0,0,0,0
