stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0.56,13.53,0,0,0,0,0.56,0.28,0,0,0,0,1.97,0,0
21Day,0,0.37,9.99,0,0,0,0,0,0,1.85,4.81,0,0,0,0.37,0.74,0,0,0,0,0.37,8.14,0,0.74
3Month,0,0,4.68,0.1,0.21,0.62,0.42,0,0.1,0.1,0.1,0.1,0.31,0.21,0,0,0,0.1,0,0.42,0,0.1,0.21,0.1
22Month,0.27,0,0.14,0,0.14,2.6,0.14,0,0.14,0,0.14,0.14,0.14,0,0,0,0,0,0.14,0.14,0,0,0,0
