stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.56,0,0,0.85,0.56,0,0,0,1.13,0,0,0,2.82,0,0.28,0.28,0.85,0.56,0,0,0,56.93,4.79,0,0.56,0,5.92,0,0,0,0.56,0.28,0.28,0,0,0,0
21Day,1.11,0,0,1.11,0,0.74,0,1.11,0,4.07,0,0.74,3.33,30.71,0.37,0.37,0.37,9.62,1.11,0,0,0,18.13,5.18,0,0,0,0.74,0.37,0,0.37,0.74,0.74,0.37,0.37,0,0,16.28
3Month,0,1.04,0.21,8.22,0.21,0,0.42,1.04,0.83,45.87,0,4.99,54.71,8.01,1.46,0.73,5.62,32.56,3.33,0.52,0.31,0.52,1.25,0.21,0.31,0.31,0,1.25,1.04,0.1,3.22,1.25,0,0,0,1.04,2.5,58.87
22Month,0,1.37,0.14,1.64,0,0,0.41,0.27,0.27,46.6,0.27,10.11,17.49,8.06,0.55,0,1.09,28.15,0.82,0,0.27,0,0.96,0,0.41,0.82,0.27,1.09,0.41,0,1.5,0.82,0.14,0,0,0.27,0,13.25
