stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,1.41,0,0.85,0,0,0,0,7.89,2.25,0.28,0,1.97,0,0,0.85,0,0,0,0
21Day,0,0,0,0.74,0.37,0,0,0.37,0,0,0,0,0,0,0.37,0.37,1.48,0,0,0.37,0,1.48,0.37,0,0,2.96,0,0.37,0,0,0,0,0.37
3Month,0,0.21,0.31,1.14,0,0,0.1,0,0.21,26.63,0.21,0,1.56,0.21,0.21,0.31,0.42,0.42,0.31,0.1,0.42,0.1,0,0,0.1,0.1,0.52,2.6,0.21,0,0.1,0.83,0.42
22Month,0.27,0.14,0,0.55,0,0.27,0,0,0.55,81.44,0.14,0.14,0.82,0.14,0,0.41,0.68,0,7.93,0.27,0,0.14,0,0,0,0.27,0,0.55,0,0,0,0,0.41
