stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.41,0.28,0,0.85,0,0
21Day,0,0,0.37,0,0,0,0,0,0.37,3.33,0,0,0,0.37,0
3Month,0.1,0.1,0,0,0,0,0,0.21,0,0,0,0,0,0,0.1
22Month,0.41,0,0,0.14,0.14,1.91,0.14,0.27,0,0.14,0,0.14,0,0,0
