stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,1.11,0,0,0,0
3Month,0.1,1.35,0,0.1,0.1,0.31,0,2.08,0.52,0.1,1.04,0.21,0.31,0.21,0.94,0.1,0.1,1.66,0,0.31,0,1.04,87.37,0.1,0.31,38.9,0.42
22Month,0,0.27,0,0,0.14,0,0.41,1.64,0.14,0.27,0.27,0,0,0,0,0,0,0.14,0,0.14,1.37,0,10.52,0.14,0,0.14,0.14
