stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0.28,0,4.79,0.28,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0.37,0,4.81,0,0,0.37,0,0,0.37,0,0
3Month,0.42,0,0,0.31,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0
22Month,0.27,0,0.27,1.78,0,0.27,0.14,0,0,0,0,0.14,0,0,0.14
