stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,3,0,0,0,0,0,2,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0.28,0,0,0
21Day,0,8.88,0,0,0,0,0,0,2.59,0,0.74,0,0,0,0,0.37,0,0.37,0.37,0.37,0,0,0,0,0.37
3Month,0.1,6.87,0,0.94,1.35,0.1,1.98,0,2.08,0.21,0.42,0.1,0.1,0.1,0.1,0,0,0,0,4.47,0.1,0,0.21,0.31,0.21
22Month,0,0.14,0.14,0.68,1.09,0.14,1.09,0,0,0.27,0.27,0,0,0,0,0,0.14,0,0,0.82,0,0,0,0,0.14
