stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,16,0,0,0,0,0,0,0,0,0,1,1,11,0,0,8,36,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,1.41,0,0,0,0,0,0,0,0,0.28,1.69,0,3.1,0,0.56,18.6,1.97,0.28,0,3.66,0,0,0.28,0,3.1,0,0
21Day,0.74,0,0.37,1.11,0,0.37,0,0.37,0,0.37,0,0,1.11,0.37,2.22,0,0,20.72,0.74,5.18,0,0,1.11,0,0,0,1.85,0,0.74
3Month,0,0.42,1.04,0,0,0.42,0,1.35,0.21,0,0.21,0.31,0.42,0.52,1.35,0,2.18,0.31,0.1,0.31,0,0,0.1,1.35,0,0,0.83,0.1,1.04
22Month,0,0.27,0.68,0,0.14,0.55,0.14,8.06,0.41,0.14,0.82,0.27,0.14,1.09,1.23,0.41,0.68,0.68,0,0,0.14,0,0.27,1.91,0.14,0.14,0,0,0.27
