stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,1,4,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0,1.69,1.13,1.41,0,0,0,0,0,0,0,0,0,0,0.85,5.36,0.28,2.25,0,0,0.85,97.8,14.66,0,0,0,0.85,0.28,0,0.85,0.28,0.28,0,0,0,0
21Day,0,0.37,0,7.77,0.37,1.11,0,0.74,0,0,0,0,0.74,3.33,1.11,0.74,1.48,5.92,2.59,4.07,0,0,1.11,40.7,4.07,1.85,0.37,0,1.11,4.07,1.11,0.74,1.11,1.85,0.74,0,0,0.74
3Month,0,1.46,0.21,6.35,0.1,0,0.1,0.21,1.56,0.94,0,0,15.29,28.4,0.42,0.94,0.31,2.18,2.6,1.66,0.62,0,1.35,1.04,0.1,1.25,0.42,0,0.1,1.04,11.96,0.1,0,0,0,1.35,8.95,0.62
22Month,0,1.64,0.14,3.01,0,0,0,0.27,0.68,0.41,0.14,0,39.9,9.29,0.27,0.68,0.14,0.27,1.5,1.91,0,1.23,0.55,0.55,0.14,1.37,0.41,0.27,0,0,1.64,0.14,0.41,0,0,0,0.14,0.55
