stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,6,1,0,1,0,0,0,0,0,0,0,0,0
72hpf,25.65,0.28,2.25,0.28,1.97,0,0,0,0,0,0.28,5.07,0.56,7.05,0,0.28,0,2.54,157.83,9.02,0,0.28,6.76,0,0,0.28,0.28,0.28,1.69,0,0,0
21Day,3.33,0,0.74,0.74,1.48,0,0,0,0,0,0,1.11,0,7.03,0,0,0.74,0,23.68,1.48,0.37,0,1.48,2.59,0.37,0.37,0,0.37,0,0.37,0,0.37
3Month,0.1,0.1,0.94,0,0,0.1,0.21,0.62,0.1,0.42,0.1,0.31,0.42,3.43,0.94,0,0.31,0,0.1,0,0.42,0.1,0.21,0.1,0.52,0.21,0,0,0,0,0.1,0.1
22Month,0,0.14,0.68,0,0,0,1.78,1.78,0,0.14,0,0,0.14,0.96,0.14,0,0.14,0,0.14,0,0.82,0,0,0,0.14,0.14,0,0,0,0.14,0,0
