stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,T_cell
21Day,0,0,0,0,0,0.74,0,0,0,0.37,0.74
3Month,0.21,0.31,0.1,0.52,0.94,27.36,0.21,0.21,0.1,0,1.04
22Month,0,0,0,0.27,0,5.6,0,0,0,0,0.14
