stage,Epithelial_cell,Hatching_gland,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,1,1,1,1,0,6,0,0
72hpf,0,0,0,0,3.66,0,0.56,0
21Day,0,0,0,1.48,1.48,0,0,0.37
