stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,13.81,0.56,0.28,0,0,0,0,0,0,2.82,14.37,0,1.41,0,0,8.17,2.82,0.28,0,0.85,0,0,0.85,0.28,0,0
21Day,0.37,0,0,4.44,1.11,0.37,0,0,0,0,0,0,0,1.48,0,0.74,0,0,0.74,0.74,0.37,0,0,0.37,0,0,0,0,0
3Month,0,0,0,4.58,0,0,0.1,0.21,1.46,0.1,0.1,0.42,0.21,0.31,0.1,0.52,0,0.1,0,0,0,0,0,0,0.73,0,0,0.21,0.1
22Month,0,0.14,0.14,3.28,0,0,0.14,0.41,2.46,0.27,0.14,0.68,0,0,0.68,0.41,0.14,0,0,0,0.27,0.14,0,0,0.68,0,0,0,0.14
