stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0.28,0.28,0.28,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0,83.15,2.25,0.28,0.28,0.85,0,0,0.28,0,0.28,0,0
21Day,0.74,0,0.74,0,0.37,0.37,0,0,0.37,0,0,0,0.74,0.37,1.48,0.37,0,0,0.37,28.86,0.37,0,0.37,0.37,0.74,0,0.74,0.37,0,0,0.74
3Month,0,0.1,1.46,0.21,0,0,0.21,0,1.14,0.31,0,0.1,0.21,0.52,1.35,0.42,0.1,0,0,0.21,0,0.42,0,0,0.1,0.73,0,0,0,0.42,1.35
22Month,0.14,0,1.5,0,0,0,0.41,0.41,6.29,0.96,0.82,0.55,0,0.55,1.37,0.68,0.14,0.27,0,0.14,0.14,0.68,0,0,0,0.82,0.14,0,0,0,2.19
