stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,6,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,8.74,0.56,0.56,0.56,0.28,0,0,0,0,0,0,0.28,1.13,0,3.1,0,0,0,10.43,0.56,0,2.25,0,0,0.56,0,0,0
21Day,4.07,0,0.74,0,0.37,0,0,0,0.37,0,0,0,0,0,5.92,0,0,0.37,2.96,0,0,1.48,0,0,0,0,0,0
3Month,0.42,0.1,0.52,0,0,0.1,0.42,0,0.31,0.31,0.83,0,0.21,0.31,4.47,0.1,0,0.1,0,0,0,0,0.1,0.42,0,0,0.1,0.42
22Month,0.14,0,0.14,0,0,0,0.14,0,3.14,0.14,0.82,0,0.14,0.14,0.14,0,0.14,0,0,0,0.14,0,0,0.27,0,0.14,0,0.14
