stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.97,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,1.97,0,0,0,3.1,1.13,0.56,0,0,0,0.56,0,0,0.28,0.28,0,0,0,0
21Day,0.37,0.37,0,93.98,0.37,1.48,0,0.37,0.37,0,0,0.37,0.37,0,0.37,0,105.82,0.37,4.44,0,0,2.59,3.33,2.96,2.22,0,0.37,0,2.59,1.48,0,0.74,0.37,0.37,0.37,0,0.74
3Month,0.1,0.1,0.31,13,0.1,0,0.1,0.42,1.14,0,0,3.22,1.87,0,1.46,5.62,6.24,0.83,1.46,0.42,0,0.42,14.77,0.21,0,0.1,0.1,0,0.21,0.52,1.04,0,0,0,0,0.52,0.94
22Month,0.41,1.09,0.82,7.65,0,0,0,0.55,2.46,64.36,0,24.87,1.64,0.41,2.32,2.46,4.24,3.55,3.42,0,0.82,0.55,3.69,0.14,0.27,0.41,0.41,0.55,0.55,0.27,1.23,0.27,0,0,0.55,0,0.96
