stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0,0,0,8.51,0.37,0.37,0,24.79,1.11,0,0,0.74,1.11,0.74,0,0,0,0.37,0,0,0.37,0,0,14.06
3Month,0,0.1,0,0.73,0,0.31,0.1,0.1,5.51,0.62,0.1,0.62,0,0.21,16.43,0.83,0.1,0,1.87,0,0,0,0,0,0,1.14,0.1,0,2.6,0.62,3.43
22Month,0,1.09,0.27,1.78,0,0.82,1.37,0.68,181.47,0.41,0.41,1.78,0.14,0,12.85,1.91,0.14,3.28,0.68,0.14,0,0.27,0.27,0,0,0.55,0.14,0.27,0.14,0,2.05
