stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.1,0,0.21,4.99,0,0.1,0.1,0,0.42,0.1,0.94,0.52,0.1,0.1,2.08,0,0.1,0.1,0.1,0.1
22Month,0,0.14,0,2.87,0.14,0.14,0.41,0.14,1.5,0.14,0.96,1.91,0,0.14,0.14,0,0,0,0,0.14
