stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0,0,0.73,0,0.1,0.1,0.42,0,1.87,0.31,0.1,0.73,0.1,0.52,0.21,0.21,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0.21,0,0,0,0.21,0.1
22Month,0,0.55,0.14,2.6,0.27,0.14,0.41,3.28,1.23,21.59,1.78,0.27,1.91,0.14,0.27,0.68,3.01,0,0.68,0.41,0.14,0.14,0,0.14,0.55,43.59,0.14,0.14,0.41,0.41,0.14,0.14,0,0.82
