stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07
3Month,0.21,0.21,4.78,0.52,0.31,0.21,1.66,0.21,0.31,0.21,0.1,0.42,4.16,0.73,0.1,0.1,0.1,0.1,0.1,0.21,0.21,0.1,34.85
22Month,0.14,0,1.5,0.14,0,0.14,1.23,0,0.14,0.14,0,0.14,1.91,0.14,0,0,0.14,0,0,0,0,0,13.25
