stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,1,1,1
72hpf,0,0,0,0,0.28,0,0,0.56,0
21Day,0,0,0,0,0,0,0.37,0,0
3Month,0.1,0.1,0,0.21,0,0.1,0,0,0
22Month,0,1.64,0.14,0,0,0,0.14,0,0
