stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,14.94,0,0,0.28,0,0,0,1.13,0.85,0,0,0
21Day,0.37,0,0.74,0.74,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0.37,4.44,0.74,0,0,0,0.37,0,1.11,4.44,0,0,0
3Month,0,0,8.53,0.31,0,0.42,0.31,0,2.08,0.42,0.52,0.52,0.73,0.42,0.42,0.1,0.1,0.62,4.26,0,0.52,0,0.1,10.92,0.1,0,0,0.31,2.08,0.1
22Month,0,0.41,0.82,0,0,0,0.55,0.14,3.01,0.27,0.27,0,0.41,0.27,0,0.14,0,0,0.27,0,0,0,0,2.6,0,0.14,0,0,0.14,0.14
