stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,8,0,0,0,0,2,0,0,0,0,3,1,6,0,0,1,45,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0.28,1.41,0,0.56,0,0,5.07,3.38,0,0,0,0.56,0,0.28,0,0,0
21Day,0,0,0,1.11,3.33,1.85,0,0,0,0,0,0,0.74,0,0.74,0.74,0,0.37,0,2.59,0,0.37,0,0,0.37,0,0,0,0
3Month,0,0,0.1,0.1,0,0,0,0.1,0,3.64,0.1,0.73,0,0,0,0.1,0.21,0,0,0.1,0.1,0,0.73,0,0,0,0.1,0.31,0.1
22Month,0,0,0,0,0,0,0.14,0.14,0,8.06,0,0,0,0,0.14,0.14,0.96,0,0,0,0,0,0,0,0,0,0,0,0
