stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,2,0,0,7,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0.28,0.28,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,1.11,0,0,0,0
3Month,0.1,0.1,0.62,0.21,0.1,0.62,0,0.1,0.31,0.31,0.1,0,0.1,0,0,0.1,0,8.74,0.1,0.21,1.04,0.21
22Month,0,0.14,0,0.14,0,3.42,0.41,0,0.14,0,0,0.14,0,0.14,0,0,0.14,2.05,0,0,0,0
