stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0.74,0,0,0,0
3Month,0.1,0.1,0.21,0,0.21,0.21,0.52,0.31,0.1,0.21,0.1,0,0,0.1,0,0,0,0,8.84,0.1,0.1,5.1,0.1
22Month,0,0,0.14,0,0,0.14,1.78,0,0,0.14,0,0.27,0.55,0,0,0,0.14,0,0.55,0,0,0,0
