stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0,0,0.85,0,0,0,0.85,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,1.85,0,0.74,0,0,1.11,3.33,0,0,0,3.7,0,0,0,0,0.37,0.37,0,0.37,0.37,0.37,0,0,0,4.44
3Month,0.1,0.21,2.81,0.1,0.21,0.52,0.1,10.61,0,1.66,15.29,0.42,0.73,0.1,0.42,5.93,0.62,0.21,0,0.1,0,0.1,0.1,0.1,0,0.21,0.83,0.83,0.62,10.19
22Month,0,0.14,3.01,0,0.68,0.27,0.14,47.55,0.41,8.47,22.27,2.46,0.55,0.14,0,19.95,1.91,0.14,0.41,0,0,0,0.14,0,0,0,0.41,0.14,0,5.47
