stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,30,1,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0.28,0,1.97,2.54,0,0,0.28,0,0,0,0,0,3.1,0.28,3.66,0,0,0,305.52,10.43,2.82,0.28,5.07,0,0,2.25,5.07,3.1,0.28,0,0
21Day,1.48,0.37,0,5.92,2.96,0.74,0,0,0.37,0.37,0.74,0.37,0.37,1.48,1.48,4.44,0,0,0,133.2,5.18,2.22,2.22,2.22,4.07,0,2.96,9.62,49.95,0,0,0.37
3Month,0,0,0,0.42,0,0,0.1,0.42,1.66,0.21,0,0.73,0,0.31,0.1,0.52,0,0,0.1,4.58,0,1.87,0.1,0,0,1.98,0,0,0,0,1.77,0.1
22Month,0,0.14,0.14,0.27,0,0.14,0,0.68,6.15,0.14,0.14,0.41,0,0,0.41,0.82,0.14,0.14,0,1.37,0,1.64,0,0,0,0.27,0.27,0.27,0,0,0,0
