stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15,1,0,0,0
72hpf,0,0.28,0,0,0,0.28,0,0,0,0,0.28,1.13,0,0,0,1.13,0.56,0.28,0,0.28,0
21Day,0,0,0,0.74,0.74,0.37,0,0,0,0,0,0.74,0.37,0.74,0,0.37,0,0,0.37,0.37,0
3Month,0,0.1,0,0.62,0,0,0.1,0,0.42,0.1,0,0.21,0.1,0.42,0,0,0,0,4.37,0,2.18
22Month,0,0.14,0.14,0,0,0,0.14,0.14,0.14,0.14,0,0,0,0,0.14,0,0,0,1.78,0,0
