stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21Day,0.37,0,18.13,0.74,0,1.11,0,0,0.37,0,0.37,0.37,0,0.74,0,1.48,0,0,0,2.22,1.11,0,1.11,0,0.37,0.37,0,0,0.37
3Month,0,0.52,12.07,0,0.1,0,0.62,0.94,2.81,0.73,0.1,1.46,0.31,3.43,0.83,1.56,0.31,0.1,0.1,0.1,0,0.21,0,1.35,0,0,0.31,0.42,1.14
22Month,0,0.27,0.55,0,0,0,0,0.14,0.27,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,1.5,0,0,0,0,0
